Country,LIME-DS_BAL_MASI_TFL,LIME-DS_QCALC,SCRUBBER_TOT_VOL,SCRUBBER_QCALC,GYP-CR_TOT_VOL,GYP-CR_QCALC,GAS-SP_BAL_MASI_TFL,GAS-SP_QCALC,GYP-SP_BAL_MASI_TFL,GYP-SP_QCALC,H2O,CO2,SO2,O2,CALCI-01,CALCI-02,N2,NA2O,AR,gypsum production,
USA,2.17716227,1.52408998,37393.4289,270.64226,38484.6441,28.0953795,20.0074859,-48.3373091,0.87576695,0.020205134,1.83606855,2.32570794,0.000190873,1.88367355,2.08E-87,5.30E-79,13.0786612,7.95E-81,0.00741681,0.13291658,9.98E-06
USA,11.1105679,7.77778735,190817.679,1380.73131,196395.318,145.028849,102.09985,-246.661873,4.46696632,0.103488783,9.36984572,11.868637,0.000400604,9.6126835,2.00E-87,2.70E-78,66.7434673,4.06E-80,0.037849719,0.676358227,4.10E-06
USA,20.0853086,14.0604208,344976.016,2495.89502,355022.95,263.55614,184.570371,-445.912302,8.07291583,0.186948919,16.9387682,21.4557204,0.000526829,17.3774344,4.45E-84,4.88E-78,120.656582,7.34E-80,0.068423442,1.22251836,2.98E-06
USA,29.3188732,20.5242399,503566.342,3643.4216,518212.513,381.563701,269.42625,-650.858636,11.7911795,0.272986787,24.7242924,31.3192811,0.000933641,25.3661827,8.24E-87,7.13E-78,176.124501,1.07E-79,0.099878881,1.78753637,3.62E-06
USA,38.8655934,27.207279,667490.448,4829.06513,686947.804,505.572531,357.156538,-862.695227,15.6343475,0.36253579,32.7729533,41.5173689,0.000258273,33.6255948,1.12E-86,9.46E-78,233.473614,1.42E-79,0.132401132,2.37042013,7.56E-07
USA,48.6194573,34.035326,835004.643,6040.8535,859351.819,632.376209,446.790123,-1079.18306,19.5587823,0.45364505,40.9973947,51.9367331,0.000141135,42.0643623,1.42E-86,1.18E-77,292.067081,1.78E-79,0.165629047,2.96548426,3.30E-07
USA,58.5628087,40.9960208,1005778.23,7276.31668,1035107.33,761.676807,538.164927,-1299.89334,23.5587754,0.546403532,49.3819799,62.5585132,0.000204344,50.6671146,1.72E-86,1.42E-77,351.798838,2.14E-79,0.199502478,3.57195976,3.97E-07
USA,68.6811367,48.0792054,1179548.7,8533.40426,1213954.01,893.222685,631.147762,-1524.47291,27.6297542,0.64089982,57.9137898,73.3672086,0.000109334,59.4212128,2.03E-86,1.67E-77,412.581715,2.51E-79,0.233971991,4.18923802,1.81E-07
USA,78.9580292,55.2733908,1356046.98,9810.2808,1395604.82,1026.85254,725.587675,-1752.58305,31.7640741,0.736796309,66.5795478,84.3452872,0.000134726,68.312527,2.35E-86,1.92E-77,474.317122,2.89E-79,0.268981677,4.81609019,1.94E-07
USA,89.3788684,62.5683438,1535018.05,11105.0332,1579799.92,1162.35152,821.350398,-1983.88719,35.9563505,0.834044362,75.3666599,95.4771339,0.000147958,77.3283773,2.66E-86,2.17E-77,536.917247,3.27E-79,0.304481737,5.45173295,1.88E-07
USA,99.9380248,69.9601238,1716362.7,12416.9505,1766439.61,1299.64356,918.384207,-2218.25886,40.2043767,0.932601773,84.270348,106.756735,0.000133335,86.4638892,2.99E-86,2.43E-77,600.348272,3.65E-79,0.340452995,6.09583572,1.52E-07
USA,110.616641,77.4355299,1899760.97,13743.7317,1955259.53,1451.4841,1016.49238,-2455.53608,44.469415,1.03135121,93.2823259,118.163969,0.000148159,95.7027652,2.72E-83,2.69E-77,664.496925,4.04E-79,0.37683122,6.73486336,1.52E-07
USA,121.408111,84.9899377,2085096.45,15084.5356,2145937.63,1578.81221,1115.68444,-2694.82274,48.8417671,1.13294008,102.374425,129.691713,0.000164525,105.039274,3.64E-86,2.95E-77,729.323498,4.44E-79,0.413593877,7.40544984,1.54E-07
USA,132.298158,92.6133523,2272245.65,16441.6089,2338484.48,1721.50291,1215.75626,-2937.04738,53.2020773,1.23094337,111.568341,141.324773,0.005681438,114.462449,3.89E-86,3.22E-77,794.742242,4.83E-79,0.450692351,8.06517038,4.89E-06
